emailId,orderResponse
E010,"Hello,

Thank you for your order! We are pleased to confirm that your order for 1 pair of RSG8901 Retro Sunglasses has been successfully created. We appreciate your business and hope you enjoy your new sunglasses.

Thank you,

BrooksDuBois."
E011,"Hi there,

Thank you for reaching out with your question about the RSG8901 Retro Sunglasses. I'm happy to confirm that your order for 1 pair of Retro Sunglasses has been successfully created. 

Regarding your curiosity about the style inspiration, these sunglasses are designed to capture the essence of the 1960s, offering a cool, nostalgic vibe reminiscent of that era's iconic fashion trends.

If you have any more questions or need further assistance, feel free to let us know. We're here to help!

Thank you,

BrooksDuBois."
E012,"Hey there,

Hope you're doing well too! I'm glad to hear you loved the leather briefcase from last year. I see that you've ordered a Leather Messenger Bag (id: LTH2109), and I'm happy to confirm that it's been successfully created for you. It sounds like a great choice, especially if you're looking for something slightly smaller.

If you need any more help or have questions about other styles, feel free to reach out. And good luck with getting that lawnmower fixed and planning your anniversary dinner—an Italian place downtown sounds perfect!

Thank You,

BrooksDuBois."
E013,"Hi Marco,

Thank you for reaching out to us. I'm pleased to confirm that your order for a pair of slide sandals in the Men's Shoes category has been successfully created. The item ID for your Slide Sandals is SLD7654.

We hope you enjoy your new sandals this summer!

Thank You,

BrooksDuBois."
E014,"Hi Johny,

Thank you for your order! I'm happy to confirm that we have successfully processed your request for 1 Sleek Wallet. Your item is on its way and should be with you soon.

Thank You,

BrooksDuBois."
E015,"Good morning,

Thank you for reaching out to us and for choosing a special gift for your husband Thomas. We are pleased to confirm that we have successfully processed your order for 1 Sleek Backpack (ID: SBP4567). This versatile bag is an excellent choice for both his professional office environment and his weekend outdoor adventures. We are confident it will meet your expectations for style and practicality.

Thank you once again for your order. If you have any further questions or need assistance, please feel free to contact us.

Thank You,

BrooksDuBois."
E015,"Good morning,

Thank you for reaching out to us and for choosing a special gift for your husband Thomas. We are pleased to confirm that we have successfully processed your order for 1 Leather Tote (ID: LTH5432). This bag is both stylish and practical, making it a perfect choice for his professional office job and weekend outdoor activities.

We hope this gift adds a touch of elegance and functionality to his daily routine and adventures.

Thank you,

BrooksDuBois."
E016,"Hello Claire,

Thank you for reaching out to us! I'm delighted to let you know that we've successfully processed your order for the Floral Maxi Dress. This dress is a wonderful choice for a summer wedding, offering a flattering fit while ensuring comfort for an outdoor ceremony.

Regarding your interest in a travel bag, I apologize for not having included it in this order. Please let me know if you would like assistance in selecting one, and I'd be happy to help you find the perfect option.

Thank you,

BrooksDuBois."
E017,"Hi there,

Thanks for reaching out! I understand you're interested in that popular item that's been flying off the shelves. Unfortunately, it seems like we're currently out of stock for that particular item. I apologize for the inconvenience and appreciate your patience as we work to restock it soon.

Please feel free to check back with us, and we'll be more than happy to assist you with your order once it's available again.

Thank You,

BrooksDuBois."
E018,"Hello,

Thank you for your order! I'm pleased to confirm that we have successfully processed your purchase of 2 pairs of the retro sunglasses (RSG8901). We hope you enjoy your new shades!

Thank You,

BrooksDuBois."
E019,"Hey there,

Thank you so much for your kind words and for being such a loyal customer! We're thrilled to hear that you loved the Fuzzy Slippers - FZZ1098, and we're confident you'll be just as impressed with the Chelsea Boots [CBT 89 01] you've ordered. Your order has been successfully processed, and we can't wait for you to enjoy them.

Whenever you're ready to add those Retro sunglasses to your collection, we'll be here to help you out.

Thank You,

BrooksDuBois."
E020,"Hello Antonio,

Thank you for reaching out to us. The Saddle bag is priced at $150 and is indeed suitable for the spring season. It is designed to complement the vibrant and fresh feel of spring, making it a perfect accessory for this time of year.

If you have any more questions or need further assistance, feel free to let us know.

Thank you,

BrooksDuBois."
E021,"Hello,

Thank you for reaching out and for your recent purchase! We're thrilled to hear that the items you selected are a perfect fit for your style. However, it seems that only the Corduroy Pants (ID: CRD3210) from your order have been successfully processed. We apologize for any inconvenience this may cause and are currently awaiting restock for the other items: SDE2345, DJN8901, and RGD7654. 

Regarding your inquiry about winter hats, we do have a selection available in our store. Please feel free to browse our website or contact us for more personalized recommendations.

Thank you for your understanding and patience.

Thank You,

BrooksDuBois."
E022,"Hi Monica!

Thanks so much for reaching out and for your enthusiasm about our latest collection! I’m thrilled to hear you’re ready to place an order for the geometric pattern bags. However, it seems there was an issue processing your order, and I’m sorry to inform you that the items are currently out of stock.

We’re working hard to restock these popular bags as soon as possible. I’ll make sure to keep you updated, and as soon as they’re available, I’ll let you know right away so you can get your hands on them.

Thank you for your patience and understanding. If you have any other questions or need further assistance, feel free to reach out.

Thank You,

BrooksDuBois."
E023,"Hello,

Thank you for reaching out and for your decision to go ahead with the purchase of the CGN2345 Cargo Pants. I understand the excitement of making a choice after careful consideration.

I wanted to let you know that we currently have 2 of the CGN2345 Cargo Pants available for you. Unfortunately, the remaining 3 are out of stock at the moment. I sincerely apologize for any inconvenience this may cause. We are expecting a restock soon and can notify you as soon as they become available, if you would like.

Please let me know how you would like to proceed, and I will do my best to assist you further.

Thank You,

BrooksDuBois."
